file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uuf50-03.cnf,77,517,9,77,0.039769,0.039667,0.00042,UNSAT
uuf50-030.cnf,79,616,16,79,0.044689,0.04461,0.000467,UNSAT
uuf50-0300.cnf,101,732,17,101,0.051183,0.050726,0.001528,UNSAT
uuf50-0301.cnf,163,1157,16,163,0.082473,0.081291,0.003456,UNSAT
uuf50-0302.cnf,83,643,4,83,0.05135,0.048754,0.005439,UNSAT
uuf50-0303.cnf,107,744,8,107,0.05665,0.055202,0.004059,UNSAT
uuf50-0304.cnf,117,867,3,117,0.063817,0.063536,0.000695,UNSAT
uuf50-0305.cnf,97,636,7,97,0.054657,0.053942,0.001471,UNSAT
uuf50-0306.cnf,103,772,4,103,0.057995,0.057416,0.00221,UNSAT
uuf50-0307.cnf,173,1141,13,173,0.08415,0.083974,0.000536,UNSAT
uuf50-0308.cnf,75,529,4,75,0.041815,0.041577,0.000595,UNSAT
uuf50-0309.cnf,147,878,21,147,0.071709,0.071201,0.001342,UNSAT
uuf50-031.cnf,101,557,12,101,0.048306,0.048132,0.000463,UNSAT
uuf50-0310.cnf,105,674,11,105,0.050936,0.050798,0.000437,UNSAT
uuf50-0311.cnf,127,904,2,127,0.067253,0.067021,0.000601,UNSAT
uuf50-0312.cnf,105,733,5,105,0.054575,0.054447,0.000513,UNSAT
uuf50-0313.cnf,113,849,7,113,0.061176,0.060975,0.000517,UNSAT
uuf50-0314.cnf,161,1157,7,161,0.082251,0.080404,0.004391,UNSAT
uuf50-0315.cnf,133,916,12,133,0.074488,0.07361,0.003494,UNSAT
uuf50-0316.cnf,155,1155,42,155,0.069565,0.069518,0.000819,UNSAT
uuf50-0317.cnf,105,669,8,105,0.051796,0.051911,0.000655,UNSAT
uuf50-0318.cnf,111,749,10,111,0.058443,0.058469,0.000507,UNSAT
uuf50-0319.cnf,79,538,6,79,0.040022,0.040008,0.000441,UNSAT
uuf50-032.cnf,95,528,7,95,0.047926,0.047807,0.000423,UNSAT
uuf50-0320.cnf,147,1139,14,147,0.077308,0.077012,0.000608,UNSAT
uuf50-0321.cnf,131,906,6,131,0.065901,0.065655,0.000597,UNSAT
uuf50-0322.cnf,169,1134,24,169,0.07608,0.075784,0.000655,UNSAT
uuf50-0323.cnf,119,957,3,119,0.06816,0.067962,0.000673,UNSAT
uuf50-0324.cnf,129,917,23,129,0.062766,0.062591,0.000525,UNSAT
uuf50-0325.cnf,327,1842,53,327,0.15094,0.150361,0.001386,UNSAT
uuf50-0326.cnf,161,1267,11,161,0.082291,0.08208,0.000518,UNSAT
uuf50-0327.cnf,127,999,13,127,0.06901,0.068856,0.000495,UNSAT
uuf50-0328.cnf,109,708,6,109,0.056811,0.056615,0.000499,UNSAT
uuf50-0329.cnf,157,1144,23,157,0.078853,0.078606,0.000565,UNSAT
uuf50-033.cnf,97,637,2,97,0.051281,0.05115,0.000427,UNSAT
uuf50-0330.cnf,151,1094,5,151,0.080137,0.079912,0.00056,UNSAT
uuf50-0331.cnf,253,1581,11,253,0.123539,0.123249,0.000647,UNSAT
uuf50-0332.cnf,209,1455,24,209,0.096807,0.096607,0.000523,UNSAT
uuf50-0333.cnf,101,735,14,101,0.05393,0.053858,0.00037,UNSAT
uuf50-0334.cnf,119,852,12,119,0.061292,0.061051,0.000553,UNSAT
uuf50-0335.cnf,111,855,4,111,0.057223,0.057022,0.000509,UNSAT
uuf50-0336.cnf,287,1992,46,287,0.128732,0.128444,0.000639,UNSAT
uuf50-0337.cnf,137,940,30,137,0.065376,0.065222,0.000468,UNSAT
uuf50-0338.cnf,151,1189,13,151,0.081903,0.081673,0.000553,UNSAT
uuf50-0339.cnf,97,652,23,97,0.044514,0.044419,0.000397,UNSAT
uuf50-034.cnf,115,806,8,115,0.059157,0.058979,0.000512,UNSAT
uuf50-0340.cnf,145,1014,22,145,0.074985,0.074791,0.000532,UNSAT
uuf50-0341.cnf,105,704,6,105,0.045508,0.045374,0.000459,UNSAT
uuf50-0342.cnf,113,803,7,113,0.060346,0.060189,0.000583,UNSAT
uuf50-0343.cnf,151,1071,22,151,0.074043,0.073857,0.000512,UNSAT
uuf50-0344.cnf,183,1247,33,183,0.085559,0.085301,0.000572,UNSAT
uuf50-0345.cnf,161,1029,15,161,0.07974,0.079481,0.000585,UNSAT
uuf50-0346.cnf,89,596,3,89,0.046976,0.046869,0.000456,UNSAT
uuf50-0347.cnf,93,619,13,93,0.0465,0.04637,0.000446,UNSAT
uuf50-0348.cnf,125,1033,8,125,0.068782,0.068578,0.000568,UNSAT
uuf50-0349.cnf,167,1219,28,167,0.078324,0.078114,0.000639,UNSAT
uuf50-035.cnf,121,926,7,121,0.066499,0.066118,0.000916,UNSAT
