file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uf50-0347.cnf,124,884,37,115,0.049789,0.049349,0.001158,SAT
uf50-0348.cnf,83,510,5,72,0.043875,0.043704,0.000484,SAT
uf50-0349.cnf,22,165,6,14,0.013263,0.013178,0.000348,SAT
uf50-035.cnf,60,498,6,53,0.034822,0.034668,0.000527,SAT
uf50-0350.cnf,45,363,7,35,0.026136,0.025736,0.001052,SAT
uf50-0351.cnf,129,899,10,118,0.065551,0.065358,0.00061,SAT
uf50-0352.cnf,117,805,11,109,0.059615,0.059115,0.001421,SAT
uf50-0353.cnf,67,411,7,54,0.029959,0.029884,0.000337,SAT
uf50-0354.cnf,60,454,4,52,0.032112,0.03199,0.000415,SAT
uf50-0355.cnf,47,405,3,41,0.029509,0.029447,0.000328,SAT
uf50-0356.cnf,12,51,10,1,0.006555,0.006548,2.6e-05,SAT
uf50-0357.cnf,60,456,8,50,0.032229,0.032091,0.000418,SAT
uf50-0358.cnf,34,245,7,27,0.015205,0.015206,3.6e-05,SAT
uf50-0359.cnf,61,449,19,49,0.028635,0.028487,0.00047,SAT
uf50-036.cnf,11,63,2,2,0.006389,0.006388,5.2e-05,SAT
uf50-0360.cnf,11,41,7,1,0.006448,0.006442,4e-05,SAT
uf50-0361.cnf,36,186,27,22,0.011197,0.011117,0.000338,SAT
uf50-0362.cnf,57,392,10,47,0.032754,0.032669,0.000342,SAT
uf50-0363.cnf,8,48,3,1,0.005537,0.005528,5.3e-05,SAT
uf50-0364.cnf,68,432,24,56,0.028692,0.028546,0.000469,SAT
uf50-0365.cnf,81,636,10,73,0.043791,0.04371,0.000369,SAT
uf50-0366.cnf,28,190,8,19,0.016269,0.016199,0.000319,SAT
uf50-0367.cnf,39,305,8,33,0.020766,0.020689,0.000329,SAT
uf50-0368.cnf,13,112,5,6,0.008288,0.008281,3.6e-05,SAT
